date,numbers,fetched_at
19/08/2019 to 25/08/2019,"1,6,7,4,0,1,4,5,4,4,0,8,8,5,6,7,4,5,9,8,9,1,3,5,3,5,6,4,1,5,6,0,5,7,8,0,6,1,5,0,2,4,0,6,9,4,6,9,2,2,4,8,4,2,3,9",2026-09-18 13:49:36
26/08/2019 to 01/09/2019,"4,5,0,9,0,2,3,5,3,6,9,8,2,6,8,8,1,5,5,1,5,1,4,0,2,4,9,5,0,2,8,0,6,9,9,4,8,1,3,4,5,5,8,8,2,1,1,0,1,7,8,6,8,4,7,7",2026-09-18 13:49:36
02/09/2019 to 08/09/2019,"1,2,2,5,7,2,7,8,1,4,8,3,0,4,7,9,4,7,0,1,9,1,2,6,4,4,6,4,1,2,9,0,4,8,8,0,2,6,7,9,8,8,9,5,0,2,2,6,1,1,3,5,0,6,7,7",2026-09-18 13:49:36
09/09/2019 to 15/09/2019,"5,7,9,1,5,3,3,9,2,6,6,4,0,3,7,0,1,5,0,6,8,9,9,0,7,7,0,4,2,1,5,6,6,8,9,3,5,3,5,7,4,5,7,6,7,1,2,4,4,9,0,3,7,3,6,8",2026-09-18 13:49:36
16/09/2019 to 22/09/2019,"2,3,8,3,9,3,8,8,3,4,0,7,0,4,7,9,1,8,0,9,1,1,4,6,7,8,9,4,8,2,7,9,3,6,7,6,7,2,6,9,9,0,0,9,0,4,7,9,2,6,7,5,1,5,8,8",2026-09-18 13:49:36
23/09/2019 to 29/09/2019,"7,9,9,5,1,6,7,8,4,5,9,8,9,5,7,7,4,6,7,7,6,7,9,0,1,3,3,7,8,5,5,8,3,3,4,0,7,2,6,9,4,6,9,9,3,3,5,5,2,4,5,1,4,3,3,8",2026-09-18 13:49:36
30/09/2019 to 06/10/2019,"1,1,0,2,7,4,5,8,1,2,9,2,3,1,1,1,1,3,0,4,0,4,7,9,3,3,6,2,0,2,8,0,4,4,6,4,0,1,3,6,2,6,8,6,9,2,2,5,1,1,4,6,7,4,4,9",2026-09-18 13:49:36
07/10/2019 to 13/10/2019,"5,8,8,1,7,8,9,0,5,7,8,0,6,2,5,9,1,6,7,4,2,5,7,0,1,7,0,8,0,1,4,5,1,6,9,6,0,3,8,9,1,7,7,5,7,5,5,7,3,4,4,1,6,2,5,9",2026-09-18 13:49:36
14/10/2019 to 20/10/2019,"6,6,7,9,7,2,7,8,5,5,0,0,0,6,6,8,4,6,9,9,7,3,4,0,8,8,9,5,8,2,7,9,6,8,9,3,1,4,8,9,2,5,6,3,1,3,8,0,3,4,7,4,0,1,3,6",2026-09-18 13:49:36
21/10/2019 to 27/10/2019,"5,7,8,0,0,1,2,7,6,7,8,1,1,2,4,5,1,2,5,8,2,1,5,6,3,4,6,3,4,1,6,7,1,3,5,9,0,4,8,8,6,8,9,3,0,1,2,7,1,6,6,3,7,9,9,9",2026-09-18 13:49:36
28/10/2019 to 03/11/2019,"2,7,9,8,5,6,9,0,4,7,8,9,3,3,5,5,2,8,9,9,6,4,6,6,1,6,9,6,7,2,6,9,2,2,5,9,1,1,2,8,4,6,9,9,6,3,4,9,2,3,6,1,3,1,3,9",2026-09-18 13:49:36
04/11/2019 to 10/11/2019,"6,8,0,4,7,4,6,7,1,2,6,9,3,4,4,5,5,7,9,1,7,4,4,9,9,9,0,8,6,5,5,6,2,4,9,5,1,5,7,9,1,4,5,0,2,7,7,8,1,5,9,5,5,2,5,8",2026-09-18 13:49:36
11/11/2019 to 17/11/2019,"2,3,4,9,4,3,4,7,3,5,9,7,6,1,7,8,1,5,6,2,3,2,4,7,5,8,0,3,4,2,5,7,4,7,0,1,3,6,8,9,2,6,9,7,3,1,5,7,7,8,8,3,4,3,5,6",2026-09-18 13:49:36
18/11/2019 to 24/11/2019,"1,7,7,5,2,1,2,9,1,8,8,7,9,1,2,6,7,8,9,4,0,1,3,6,1,3,0,4,0,3,8,9,4,6,6,6,9,4,5,0,1,3,5,9,5,6,9,0,6,6,9,1,0,1,9,0",2026-09-18 13:49:36
25/11/2019 to 01/12/2019,"7,9,9,5,2,1,5,6,3,7,9,9,3,5,8,0,1,2,4,7,1,3,8,0,4,7,8,9,7,8,9,0,2,7,8,7,1,1,5,5,2,5,9,6,0,2,9,9,4,6,9,9,0,1,2,7",2026-09-18 13:49:36
02/12/2019 to 08/12/2019,"4,5,9,8,1,4,7,0,1,4,5,0,6,1,7,8,4,4,7,5,7,2,2,3,3,4,6,3,6,2,5,9,3,7,8,8,6,3,4,9,1,6,0,7,1,1,2,8,2,7,9,8,7,5,5,7",2026-09-18 13:49:36
