date,numbers,fetched_at
17/05/2021 to 21/05/2021,"1,5,6,2,2,6,6,8,2,2,3,7,9,1,4,4,2,6,0,8,2,1,5,6,7,9,9,5,0,3,7,0,6,9,9,4,8,2,6,0",2026-09-18 13:49:42
24/05/2021 to 28/05/2021,"3,5,7,5,0,4,8,8,1,3,7,1,1,2,2,7,4,5,6,5,6,4,6,6,1,3,5,9,6,2,4,0,1,4,5,0,1,4,7,0",2026-09-18 13:49:42
31/05/2021 to 04/06/2021,"1,3,4,8,4,6,8,0,1,6,9,6,7,1,8,8,1,2,6,9,7,2,6,9,2,7,9,8,9,1,1,7,1,4,9,4,6,3,5,8",2026-09-18 13:49:42
07/06/2021 to 11/06/2021,"5,9,0,4,2,1,1,0,6,0,0,6,5,1,5,9,4,8,0,2,3,1,3,9,6,7,0,3,2,6,7,9,2,3,7,2,4,1,4,9",2026-09-18 13:49:42
14/06/2021 to 18/06/2021,"3,6,0,9,8,4,4,0,4,8,9,1,9,5,6,8,3,4,8,5,8,4,6,8,4,7,9,0,6,6,0,0,4,5,6,5,3,3,0,0",2026-09-18 13:49:42
21/06/2021 to 25/06/2021,"1,6,6,3,8,4,5,9,1,3,5,9,6,3,6,7,2,4,8,4,7,1,6,0,4,8,9,1,1,2,9,0,2,4,7,3,5,8,8,9",2026-09-18 13:49:42
28/06/2021 to 02/07/2021,"3,0,0,3,3,7,8,8,2,5,5,2,6,2,5,9,5,7,9,1,7,3,6,8,1,2,0,3,2,2,2,8,6,8,0,4,8,4,4,0",2026-09-18 13:49:42
05/07/2021 to 09/07/2021,"1,9,0,0,9,2,3,4,5,7,8,0,9,4,7,8,1,4,0,5,5,1,6,8,4,5,9,8,4,1,6,7,4,7,8,9,5,4,4,7",2026-09-18 13:49:42
12/07/2021 to 16/07/2021,"2,7,8,7,4,3,5,6,2,4,8,4,8,2,7,9,4,7,0,1,3,2,3,8,8,0,0,8,6,3,5,8,5,8,9,2,8,1,2,5",2026-09-18 13:49:42
19/07/2021 to 23/07/2021,"2,2,9,3,2,3,3,6,3,3,8,4,6,1,7,8,8,9,9,6,4,2,5,7,4,7,0,1,3,6,7,0,7,7,0,4,1,5,7,9",2026-09-18 13:49:42
26/07/2021 to 30/07/2021,"4,4,9,7,2,2,3,7,4,5,9,8,2,4,9,9,1,2,0,3,8,5,5,8,1,3,3,7,0,1,2,7,4,7,7,8,5,2,3,0",2026-09-18 13:49:42
02/08/2021 to 06/08/2021,"1,7,8,6,1,3,8,0,2,8,9,9,6,1,6,9,5,6,7,8,7,3,5,9,5,5,0,0,6,2,7,7,1,9,0,0,5,3,5,7",2026-09-18 13:49:42
09/08/2021 to 13/08/2021,"1,6,0,7,9,1,4,4,7,9,0,6,7,2,7,8,3,5,6,4,5,7,8,0,1,4,5,0,4,2,2,0,3,4,5,2,9,1,9,9",2026-09-18 13:49:42
16/08/2021 to 20/08/2021,"4,4,9,7,3,1,3,9,4,8,0,2,2,1,4,7,1,4,5,0,5,8,8,9,2,2,7,1,8,1,7,0,1,5,0,6,7,2,6,9",2026-09-18 13:49:42
23/08/2021 to 27/08/2021,"4,7,8,9,2,2,2,8,2,6,9,7,3,2,3,8,6,7,9,2,4,3,4,7,4,5,8,7,3,3,5,5,4,7,0,1,2,6,7,9",2026-09-18 13:49:42
30/08/2021 to 03/09/2021,"2,4,6,2,4,7,7,0,1,4,6,1,6,1,6,9,3,3,5,1,4,1,1,2,3,6,8,7,4,4,5,5,3,7,9,9,4,7,8,9",2026-09-18 13:49:42
06/09/2021 to 10/09/2021,"2,2,4,8,7,7,0,0,7,7,8,2,0,2,3,5,3,4,5,2,0,1,9,0,5,6,6,7,2,2,4,6,7,9,0,6,6,1,1,4",2026-09-18 13:49:42
13/09/2021 to 17/09/2021,"3,5,9,7,2,6,8,8,3,4,7,4,9,1,2,6,5,6,0,1,7,3,6,8,3,3,8,4,8,8,0,0,1,2,7,0,8,4,6,8",2026-09-18 13:49:42
20/09/2021 to 24/09/2021,"1,2,9,2,3,6,7,0,4,7,0,1,4,3,4,7,2,6,7,5,7,7,0,0,1,2,5,8,7,3,6,8,6,9,0,5,9,1,3,5",2026-09-18 13:49:42
27/09/2021 to 01/10/2021,"3,8,9,0,9,2,7,0,2,6,0,8,1,2,4,5,1,4,7,2,8,4,6,8,7,7,9,3,1,6,6,9,2,5,6,3,1,2,3,6",2026-09-18 13:49:42
04/10/2021 to 08/10/2021,"1,6,8,5,3,1,4,8,1,3,9,3,0,2,3,5,2,5,7,4,6,4,4,8,2,3,5,0,3,6,8,9,3,7,0,0,9,4,7,8",2026-09-18 13:49:42
11/10/2021 to 15/10/2021,"2,3,3,8,2,5,8,9,2,9,0,1,9,5,5,9,1,3,4,8,6,1,7,8,1,4,8,3,4,3,5,6,3,3,7,3,7,4,6,7",2026-09-18 13:49:42
18/10/2021 to 22/10/2021,"5,6,9,0,5,1,6,8,1,2,4,7,7,2,6,9,1,1,6,8,6,2,7,7,7,8,9,4,0,1,2,7,1,2,8,1,7,1,2,4",2026-09-18 13:49:42
25/10/2021 to 29/10/2021,"2,2,6,0,4,2,5,7,3,7,9,9,8,3,7,8,3,9,0,2,0,5,7,8,1,2,7,0,2,1,3,8,4,5,7,6,9,2,7,0",2026-09-18 13:49:42
08/11/2021 to 12/11/2021,"4,6,9,9,6,3,3,0,2,3,5,0,7,3,6,8,4,6,9,9,1,5,6,0,2,3,6,1,3,1,4,8",2026-09-18 13:49:42
15/11/2021 to 19/11/2021,"5,6,6,7,0,3,8,9,4,9,0,3,4,2,6,6,1,3,4,8,7,4,4,9,2,3,3,8,9,6,6,7,1,5,8,4,0,1,9,0",2026-09-18 13:49:42
22/11/2021 to 26/11/2021,"6,6,9,1,5,8,8,9,3,3,5,1,4,4,5,5,6,7,8,1,9,4,7,8,5,6,8,9,6,2,7,7,2,4,7,3,5,2,4,9",2026-09-18 13:49:42
29/11/2021 to 03/12/2021,"2,3,4,9,9,4,7,8,3,7,9,9,1,1,5,5,1,8,9,8,9,3,6,0,3,6,0,9,9,1,2,6,7,8,0,5,7,1,6,0",2026-09-18 13:49:42
06/12/2021 to 10/12/2021,"6,8,0,4,3,7,7,9,3,4,4,1,4,7,8,9,1,3,7,1,4,1,4,9,5,5,6,6,6,7,9,0,1,2,8,1,9,2,2,5",2026-09-18 13:49:42
13/12/2021 to 17/12/2021,"1,4,0,5,7,2,7,8,6,7,0,3,4,2,3,9,2,2,5,9,7,4,4,9,1,3,3,7,5,1,4,0,3,7,7,7,0,1,9,0",2026-09-18 13:49:42
20/12/2021 to 24/12/2021,"3,4,9,6,6,6,0,0,4,8,0,2,3,3,5,5,5,6,8,9,2,6,7,9,1,3,6,0,5,3,4,8,3,4,4,1,9,2,7,0",2026-09-18 13:49:42
27/12/2021 to 31/12/2021,"4,7,7,8,4,3,3,8,2,7,8,7,2,2,3,7,4,7,9,0,1,3,8,0,3,5,9,7,1,6,7,8,1,5,8,4,7,5,5,7",2026-09-18 13:49:42
03/01/2022 to 07/01/2022,"6,7,7,0,4,2,4,8,4,6,6,6,9,3,7,9,2,3,7,2,4,4,0,0,2,9,0,1,8,2,6,0,2,4,0,6,7,2,7,8",2026-09-18 13:49:42
10/01/2022 to 14/01/2022,"8,9,9,6,0,1,4,5,3,3,7,3,3,1,2,0,1,6,8,5,1,3,4,4,2,6,7,5,0,3,7,0,2,6,7,5,1,1,4,6",2026-09-18 13:49:42
17/01/2022 to 21/01/2022,"3,4,4,1,1,6,7,8,2,6,7,5,4,1,5,8,4,8,8,0,6,1,7,8,6,7,0,3,9,3,8,8,5,8,9,2,7,3,5,9",2026-09-18 13:49:42
24/01/2022 to 28/01/2022,"1,4,8,3,9,5,5,9,4,6,8,8,0,1,4,5,4,7,8,9,8,1,3,4,5,8,0,3,4,7,8,9",2026-09-18 13:49:42
31/01/2022 to 04/02/2022,"7,9,0,6,4,2,5,7,5,9,0,4,0,2,2,6,5,9,9,3,7,3,6,8,2,3,7,2,0,1,4,5,2,6,6,4,0,1,2,7",2026-09-18 13:49:42
07/02/2022 to 11/02/2022,"3,8,0,1,3,2,3,8,1,7,8,6,9,2,8,9,3,4,9,6,6,8,8,0,3,9,9,1,6,3,6,7,3,4,0,7,2,4,8,0",2026-09-18 13:49:42
